U_In-5p,U_Sb-5p,Eg(eV)
-0.98,3.1,0.23532888372716765
-0.97,3.1,0.2369195782194926
-0.97,3.09,0.23324573953142413
-0.96,3.09,0.23492774688728457
-0.95,3.09,0.23660975424314512
-0.95,3.08,0.23368162229850864
-0.94,3.08,0.23536362965411706
-0.93,3.08,0.23710536740933663
-0.93,3.07,0.23388425474663954
-0.92,3.07,0.23559576085152045
-0.91,3.07,0.2373072669709988
-0.91,3.06,0.23300611898605172
-0.9,3.06,0.23503081852359542
-0.89,3.06,0.23705551806113923
-0.89,3.05,0.23345930218152844
-0.88,3.05,0.23548400157043892
-0.87,3.05,0.23750870110799616
-0.87,3.04,0.23425342219082157
-0.86,3.04,0.23580326501406434
-0.85,3.04,0.23735310782727348
-0.85,3.03,0.23410996640082216
-0.84,3.03,0.23565980919228025
-0.83,3.03,0.23720965187450038
-0.83,3.02,0.23412096057834775
-0.82,3.02,0.23559277769118492
-0.81,3.02,0.23706459480494768
-0.81,3.01,0.2337629635383398
-0.8,3.01,0.2352453672815411
-0.79,3.01,0.23670195098719027
-0.79,3.0,0.2335079154776979
-0.78,3.0,0.2349644991881752
-0.77,3.0,0.2364210828986525
-0.77,2.99,0.23322950007401178
-0.76,2.99,0.23469147686243885
-0.75,2.99,0.23615345365093654
-0.75,2.98,0.23296480138775344
-0.74,2.98,0.23442677817450053
-0.73,2.98,0.23588875496293404
-0.73,2.97,0.23271958723481034
-0.72,2.97,0.2341864987080623
-0.71,2.97,0.23565341017497754
-0.7,2.97,0.23709996741766548
-0.7,2.96,0.23390503219315184
-0.69,2.96,0.2353818001039245
-0.68,2.96,0.2368585680142139
-0.68,2.95,0.23366363278326951
-0.67,2.95,0.235140400698018
-0.66,2.95,0.2366216075305011
-0.66,2.94,0.2334234908942059
-0.65,2.94,0.23490744015534082
-0.64,2.94,0.23639138941647597
-0.64,2.93,0.2331932727863475
-0.63,2.93,0.23467722204495578
-0.62,2.93,0.23615556106207924
-0.62,2.92,0.23295836225567523
-0.61,2.92,0.23444411649870722
-0.6,2.92,0.23592987076473892
-0.6,2.91,0.23274185033557626
-0.59,2.91,0.23422632896577134
-0.58,2.91,0.23571080759604557
-0.57,2.91,0.23719528622505814
-0.57,2.9,0.23400775451804767
-0.56,2.9,0.23549682456603627
