U_In-5p,U_As-4p,Eg(eV)
0.72,2.67,0.4174558583617996
0.73,2.67,0.41870733491700884
0.73,2.66,0.4154315731937759
0.74,2.66,0.41668305755318
0.75,2.66,0.41793703331110577
0.76,2.66,0.4191910090691867
0.76,2.65,0.41592228562516026
0.77,2.65,0.41717626138357516
0.78,2.65,0.41843023714246713
0.78,2.64,0.4151644111341524
0.79,2.64,0.4164209490146127
0.8,2.64,0.4176774868935615
0.81,2.64,0.41893402477115266
0.81,2.63,0.41566788257227505
0.82,2.63,0.4169244204512237
0.83,2.63,0.41818525515911176
0.83,2.62,0.4149254712628515
0.84,2.62,0.41618303389153105
0.85,2.62,0.4174387095505664
0.86,2.62,0.4186982574058927
0.86,2.61,0.4154390365992229
0.87,2.61,0.4166985844545059
0.88,2.61,0.4179581323111621
0.89,2.61,0.41922005284278235
0.89,2.6,0.4159585170487306
0.9,2.6,0.41722208564398844
0.91,2.6,0.41848565423933404
0.91,2.59,0.41522411844391094
0.92,2.59,0.41648768703978023
0.93,2.59,0.4177512556342695
0.94,2.59,0.41902202420171475
0.94,2.58,0.4157587942224813
0.95,2.58,0.41702544288398025
0.96,2.58,0.4182920915454892
0.96,2.57,0.4150288615662581
0.97,2.57,0.4162955102276286
0.98,2.57,0.41756951334528847
0.99,2.57,0.418837882495722
0.99,2.56,0.4155760290085366
