U_Ga-4p,U_As-4p,Eg(eV)
-0.05,4.09,1.5184971400229381
-0.04,4.09,1.5202002358723394
-0.04,4.08,1.5169848053472632
-0.03,4.08,1.5186921121189891
-0.02,4.08,1.520399418890715
-0.02,4.07,1.5172024676866316
-0.01,4.07,1.5189025766039856
0.0,4.07,1.5206026858041992
0.0,4.06,1.517437525980327
0.01,4.06,1.519137634829319
0.02,4.06,1.5208261749538023
0.02,4.05,1.5177039229995308
0.03,4.05,1.5193334160495042
0.04,4.05,1.5209629090954278
0.04,4.04,1.5178406571447387
0.05,4.04,1.5194701501921077
0.06,4.04,1.5212815619596824
0.06,4.03,1.5181182829857818
0.07,4.03,1.5198187800500886
0.07,4.02,1.5166555009626124
0.08,4.02,1.5183771197905254
0.09,4.02,1.520074930471034
0.09,4.01,1.516935307474985
0.1,4.01,1.5186331181414439
0.11,4.01,1.5203309283029023
0.11,4.0,1.517182839482333
0.12,4.0,1.5189083668122807
0.13,4.0,1.5206338941422284
0.13,3.99,1.517494591879124
0.14,3.99,1.519220119263885
0.15,3.99,1.520945646648646
0.15,3.98,1.51784960674924
0.16,3.98,1.5195891224670737
0.17,3.98,1.5213286380955506
0.17,3.97,1.5180790969834375
0.18,3.97,1.5198594516672603
0.18,3.96,1.516600600385117
0.19,3.96,1.5183809547442964
0.2,3.96,1.5201613098168247
0.2,3.95,1.516902458400237
0.21,3.95,1.5186828131815953
0.22,3.95,1.520416628553154
0.22,3.94,1.5171575938131894
0.23,3.94,1.5189031595900915
0.24,3.94,1.5206487251281644
0.24,3.93,1.5173896900954102
0.25,3.93,1.5191352557617963
0.26,3.93,1.5213702072798965
0.26,3.92,1.5179607371547905
0.27,3.92,1.5197929274349429
0.27,3.91,1.5164767290516261
0.28,3.91,1.5183538169007282
0.29,3.91,1.52023090465176
0.29,3.9,1.5169147074023912
0.3,3.9,1.518791795188165
0.31,3.9,1.5205175342610382
0.31,3.89,1.5172029597647967
0.32,3.89,1.519089317643438
0.33,3.89,1.5209756756572357
0.33,3.88,1.5176611008715364
0.34,3.88,1.519547458984936
