U_In-5p,U_Sb-5p,a(A),Eg(eV),meff
2.6,1.15,6.436331199352525,0.22452131718387333,0.014270430685095254
2.65,1.15,6.433653559077246,0.23377865763721495,0.014845853047781035
2.7,1.15,6.430737646952949,0.24370229006644067,0.015461377417864675
2.7,1.1,6.432757286791087,0.2287839758885147,0.014566122992043896
2.75,1.1,6.430079644815696,0.23806609818534755,0.015144288579499423
2.75,1.05,6.432101245985849,0.2231719235515913,0.01424748079397688
2.8,1.05,6.429415613025858,0.23248511135110597,0.014829377887652142
2.85,1.05,6.426741564429752,0.24178109848972051,0.01540971601709268
2.85,1.0,6.42875086191612,0.22694690253752373,0.014515588983164867
2.9,1.0,6.426132239320847,0.23610039097845345,0.015089096943018186
2.95,1.0,6.423450321860455,0.24544056595254163,0.015673614808920086
2.95,0.95,6.425363948704163,0.23089434549617446,0.014796209181946962
3.0,0.95,6.422755779256911,0.2400445654161079,0.015370699477417048
3.0,0.9,6.424796498455361,0.22517895062071336,0.01447071627144446
3.05,0.9,6.422104161120049,0.2345658763565205,0.015061975221980916
3.1,0.9,6.419364403229829,0.24409958983795615,0.01566158869020132
3.1,0.85,6.421404895020934,0.2292644732980279,0.014762156447020596
3.15,0.85,6.418705725852639,0.23869563553565024,0.01535752716612565
3.15,0.8,6.420698998747716,0.2240171542429342,0.014464958360811679
3.2,0.8,6.417995853353263,0.2334678947017595,0.01506333232165488
3.25,0.8,6.415300472474968,0.24291329592682245,0.01566074069781394
3.25,0.75,6.417287384922462,0.22827692926332663,0.014770054446622235
3.3,0.75,6.4145846189966464,0.23775282814885115,0.01537122912489016
3.3,0.7,6.416572635154138,0.22314761161156627,0.014478959499544555
3.35,0.7,6.41386625679649,0.23264272644624043,0.015083358317193039
3.4,0.7,6.411162814067493,0.24214195379523823,0.01568778558070694
3.4,0.65,6.413142304746596,0.22758403959989698,0.014797676382509325
3.45,0.65,6.410435366504367,0.23710775280107246,0.015405277095065088
3.5,0.65,6.407735687719221,0.2466214665486649,0.01601217133043549
3.5,0.6,6.409702823412922,0.2321255979834067,0.015124794563110553
3.55,0.6,6.406997645011397,0.24166210857204332,0.01573522288070653
3.55,0.55,6.408968005623275,0.2271871430204842,0.014846062414531732
3.6,0.55,6.405997502525216,0.23746643128205738,0.015504476963839877
