U_Ga-4p,U_As-4p,a(A),Eg(eV),meff
1.85,3.0,5.568616660493569,1.5191555997893416,0.07644070962188731
1.9,3.0,5.566662706442154,1.5288362186061324,0.07689917483728102
1.9,2.95,5.567980916196855,1.5128158363581108,0.07628219611589362
1.95,2.95,5.566021127828157,1.5225292520120017,0.0767437022958459
1.95,2.9,5.567342096135968,1.506514983457528,0.07612571573863872
2.0,2.9,5.565375140201096,1.5162668024354273,0.07659056476509041
2.05,2.9,5.56341047546272,1.5260194153650415,0.07733580313217955
2.05,2.85,5.564724784832784,1.5100498164231932,0.07643975186764196
2.1,2.85,5.562585137975944,1.5205456441443648,0.07693745822582383
2.15,2.85,5.560615478891889,1.5303350468531607,0.07740621600525005
2.15,2.8,5.561924474967862,1.5144063291313643,0.07679225450207251
2.2,2.8,5.55963099556953,1.5255651310622764,0.07731959980659084
2.2,2.75,5.560936776416728,1.5096678095455218,0.07670588802643843
2.25,2.75,5.558987931928495,1.5193868149622178,0.0771753096406487
2.3,2.75,5.557505813558672,1.527151207621092,0.07756389099741193
2.3,2.7,5.558799777346642,1.5113217185022403,0.07695285363553647
2.35,2.7,5.556814371312492,1.5212111845118117,0.07743162786658045
2.4,2.7,5.554826700657771,1.5311185630120878,0.07791157556793875
2.4,2.65,5.556122077899506,1.5153008863803745,0.07730123115099531
2.45,2.65,5.554137918888646,1.5252014717715625,0.07778281583035544
2.45,2.6,5.555441194257466,1.5093696875514626,0.07717053800255536
2.5,2.6,5.5534733074255715,1.5192100004880378,0.0776515171883954
2.55,2.6,5.551449074399518,1.5292978169182108,0.07814321210432225
2.55,2.55,5.5527573975339255,1.5134616559181464,0.07753101895008582
2.6,2.55,5.550784754494878,1.523340226132099,0.07801591415650516
2.6,2.5,5.552086230354278,1.5075517736111765,0.07740436962092237
2.65,2.5,5.550107083018647,1.5174654763651918,0.07789272720919442
2.7,2.5,5.548129044409308,1.5273835530724116,0.07838167970141563
2.7,2.45,5.549430549895989,1.511612720057134,0.07777110784508834
2.75,2.45,5.5473459994716245,1.5219882783880365,0.07828139067144718
2.75,2.4,5.548635772682785,1.5062862997445154,0.0776723641198331
2.8,2.4,5.546655205972693,1.5162317780662502,0.07816656756339879
2.85,2.4,5.544675922922139,1.526180550405333,0.07866138197843595
2.85,2.35,5.545959258303047,1.5105233849912743,0.07805449047249963
2.9,2.35,5.5439801303584515,1.5204803892948362,0.07855167450828714
2.95,2.35,5.542008289691739,1.5304152428677174,0.07904841341500855
2.95,2.3,5.54329506638734,1.5147621565765097,0.07844189855892054
3.0,2.3,5.541322692375769,1.5247075845937206,0.07894117334151934
3.0,2.25,5.542609761503463,1.5090725727721392,0.07833405203240242
